id,arquivo,linha,funcao,camada,feature,moderno_ou_legado,opcoes_diretas,opcoes_mapeadas,compartilhada,chamadas_detectadas_qtd
src/background/background.js:14:handleInstalled,src/background/background.js,14,handleInstalled,background,,legado,,,não,0
src/background/background.js:21:handleMessage,src/background/background.js,21,handleMessage,background,,legado,,,não,2
src/background/bug-report-handler.js:14:isAllowedBugReportSender,src/background/bug-report-handler.js,14,isAllowedBugReportSender,background,,legado,,,não,1
src/background/bug-report-handler.js:23:buildBugReportPayloadJson,src/background/bug-report-handler.js,23,buildBugReportPayloadJson,background,,legado,,,não,1
src/background/bug-report-handler.js:31:fetchWithTimeout,src/background/bug-report-handler.js,31,fetchWithTimeout,background,,legado,,agruparlista;atalhopublicacoeseletronicas;autopreenchersenha;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;contadoricone;coresmarcadores;debugpage;disablequery;ditado;editarimagens;editarlinks;escrivainterativa;especificaprocesso;ferramentasia;filtrarpaginapelapesquisarapida;filtroporatribuicao;gerenciaratividades;gerenciarformularios;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;infoarvore;marcar_naolido;menususpenso;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;newdoctoday;newproc_selfunidade;nomesusuarios;ocultarpaginacaosuperior;ordernartabela;qualidadeimagens;removepaginacao;resizearvore;revisaotexto;rolageminfinita;salvamentoautomatico;sincronizarprocessos;substituiselecao;uploaddocsexternos;urlamigavel,sim,7
src/background/bug-report-handler.js:48:parseBugReportResponse,src/background/bug-report-handler.js,48,parseBugReportResponse,background,,legado,,,não,3
src/background/bug-report-handler.js:61:handleBugReportMessage,src/background/bug-report-handler.js,61,handleBugReportMessage,background,,legado,,,não,3
src/background/bug-report-handler.js:76:sendViaGet,src/background/bug-report-handler.js,76,sendViaGet,background,,legado,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,6
src/background/fetch-handler.js:24:isAllowedSender,src/background/fetch-handler.js,24,isAllowedSender,background,,legado,,,não,0
src/background/fetch-handler.js:28:isAllowedFetchUrl,src/background/fetch-handler.js,28,isAllowedFetchUrl,background,,legado,,,não,2
src/background/fetch-handler.js:36:fetchWithTimeout,src/background/fetch-handler.js,36,fetchWithTimeout,background,,legado,,agruparlista;atalhopublicacoeseletronicas;autopreenchersenha;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;contadoricone;coresmarcadores;debugpage;disablequery;ditado;editarimagens;editarlinks;escrivainterativa;especificaprocesso;ferramentasia;filtrarpaginapelapesquisarapida;filtroporatribuicao;gerenciaratividades;gerenciarformularios;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;infoarvore;marcar_naolido;menususpenso;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;newdoctoday;newproc_selfunidade;nomesusuarios;ocultarpaginacaosuperior;ordernartabela;qualidadeimagens;removepaginacao;resizearvore;revisaotexto;rolageminfinita;salvamentoautomatico;sincronizarprocessos;substituiselecao;uploaddocsexternos;urlamigavel,sim,7
